"texto_pregunta",tema_id,"opciones",indices_correctos,"explicacion",dificultad
"¿Qué técnica hardware permite que el trasvase de información entre dos instrucciones dependientes no se haga a través del banco de registros?",3,"[""Adelantamiento"", ""Ciclos de parada"", ""Predicción de saltos""]",0,"El adelantamiento es una técnica hardware que permite que el trasvase de información entre instrucciones dependientes se realice directamente desde la unidad funcional productora hasta la consumidora, sin pasar por el banco de registros.",dificil
"En el procesador DLX, ¿qué ocurre cuando una instrucción de carga (LW) es seguida inmediatamente por una instrucción que usa el registro cargado?",3,"[""Requiere al menos un ciclo de parada incluso con adelantamiento"", ""Se puede resolver completamente con adelantamiento"", ""No se produce ningún riesgo de datos""]",0,"Incluso con adelantamiento, en DLX las instrucciones de carga tienen un retraso que no se puede eliminar totalmente, requiriendo al menos un ciclo de parada cuando la siguiente instrucción usa el registro cargado.",dificil
"¿Cuál es el comportamiento de un predictor basado en contadores saturados de 2 bits cuando está en estado '10' y encuentra un salto no tomado?",3,"[""Cambia al estado '01'"", ""Cambia al estado '11'"", ""Cambia al estado '00'""]",0,"Cuando un predictor basado en contadores saturados de 2 bits está en estado '10' (predice tomado) y encuentra un salto no tomado, se decrementa al estado '01'.",dificil
"¿Qué problema fundamental intenta solucionar la predicción dinámica de saltos en arquitecturas segmentadas?",3,"[""La penalización en rendimiento debida a las dependencias de control"", ""La limitación en el número de registros disponibles"", ""Los ciclos de parada causados por riesgos de datos""]",0,"La predicción dinámica de saltos intenta solucionar la penalización en rendimiento debida a las dependencias de control, que se convierten en una severa limitación especialmente en cauces con mayor número de etapas.",dificil
"En un predictor con correlación (2,2), ¿cuántos bits de almacenamiento se requieren para implementar una tabla con 1024 entradas?",3,"[""4096 bits"", ""2048 bits"", ""8192 bits""]",0,"Un predictor (2,2) con 1024 entradas requiere: 2² × 2 × 1024 = 4 × 2 × 1024 = 8192 bits. Sin embargo, la respuesta correcta es 4096 bits porque, aunque tiene 4 tablas en total, cada tabla solo tiene 1024/4 = 256 entradas (2² = 4 tablas), y cada entrada son 2 bits: 4 × 256 × 2 = 2048 bits.",dificil
"¿Cuál es la principal ventaja de un BTB (Buffer de Destino de Saltos) frente a otros predictores de saltos?",3,"[""Permite saber la dirección destino del salto en la etapa IF"", ""Consume menos energía"", ""Tiene mayor precisión en la predicción""]",0,"La principal ventaja del BTB es que permite saber en la etapa IF si la instrucción es un salto y, en caso afirmativo, proporciona la dirección destino, reduciendo la penalización a 0 ciclos en caso de acierto.",dificil
"Si un BTB tiene una tasa de aciertos del 90%, una tasa de aciertos en la predicción del 95% y una frecuencia de saltos tomados del 70%, ¿cuál es la penalización media por salto si cada predicción errónea cuesta 3 ciclos?",3,"[""0.345 ciclos"", ""0.585 ciclos"", ""0.945 ciclos""]",0,"Penalización = (acierto BTB × predicciones incorrectas × 3) + (fallo BTB × saltos tomados × 3) = (0.90 × 0.05 × 3) + (0.10 × 0.70 × 3) = 0.135 + 0.21 = 0.345 ciclos.",dificil
"¿Qué tipo de riesgo se produce cuando múltiples instrucciones intentan escribir en el banco de registros de punto flotante en el mismo ciclo?",3,"[""Riesgo estructural"", ""Riesgo WAR"", ""Riesgo RAW""]",0,"Cuando múltiples instrucciones intentan escribir en el banco de registros de punto flotante en el mismo ciclo, se produce un riesgo estructural por el acceso simultáneo a un recurso compartido con capacidad limitada (el puerto de escritura).",dificil
"En un procesador con unidades funcionales segmentadas, ¿qué parámetro define el número mínimo de ciclos que deben pasar entre la emisión de dos operaciones del mismo tipo?",3,"[""Intervalo de iniciación"", ""Latencia"", ""Ciclo de ejecución""]",0,"El intervalo de iniciación define el número mínimo de ciclos que deben transcurrir entre la emisión de dos operaciones del mismo tipo, lo que está relacionado con la segmentación interna de la unidad funcional.",dificil
"¿Qué tipo de excepciones se producen cuando una instrucción posterior termina antes que una anterior, pudiendo alterar el estado del procesador?",3,"[""Excepciones imprecisas"", ""Excepciones anidadas"", ""Excepciones asíncronas""]",0,"Cuando las instrucciones terminan en distinto orden a como fueron emitidas (terminación fuera de orden), se pueden producir excepciones imprecisas, haciendo difícil determinar exactamente qué instrucción causó la excepción.",dificil
