texto_pregunta,tema_id,opciones,indices_correctos,explicacion,dificultad
"En un sistema con paginación, si el bit de modificación de una página está activado, ¿qué implica esto cuando la página debe ser expulsada de memoria?",5,"[""La página debe ser escrita en disco antes de ser reemplazada"", ""La página puede ser descartada directamente sin escribirla en disco""]",0,"Cuando el bit de modificación (bit M) de una página está activado, indica que el contenido de esa página ha sido modificado mientras estaba en memoria. Por lo tanto, si se necesita expulsar esta página de memoria, su contenido actualizado debe escribirse en disco para no perder las modificaciones realizadas, como se explica en la sección 5.3.2 del texto sobre la estructura de una entrada en la tabla de páginas.",dificil
"En el algoritmo de reemplazo de páginas NRU (No Usada Recientemente), ¿qué clase de página se elige primero para ser reemplazada?",5,"[""Clase 0: R=0, M=0"", ""Clase 3: R=1, M=1""]",0,"Según el algoritmo NRU explicado en la sección 5.3.4, las páginas se dividen en cuatro categorías según los valores de los bits R (referencia) y M (modificación). El algoritmo elimina una página al azar de la primera clase no vacía de número más pequeño. La Clase 0 (R=0, M=0) representa las páginas que no han sido utilizadas recientemente ni modificadas, siendo las mejores candidatas para reemplazo.",dificil
"En un sistema con tablas de páginas multinivel, si una dirección virtual de 32 bits tiene un tamaño de página de 4KiB y se divide en PT1 y PT2 de 10 bits cada uno, ¿cuántos bytes de memoria principal representa cada entrada de la tabla de primer nivel?",5,"[""4MiB"", ""1MiB""]",0,"Como se explica en la sección 5.3.2 sobre tablas de páginas de varios niveles, cada una de las 1024 entradas de la tabla de páginas del nivel superior (10 bits de PT1) representa 4MiB del espacio de direcciones virtuales, ya que el tamaño total de este espacio es de 4GiB y la tabla de primer nivel divide dicho espacio en 1024 partes iguales.",dificil
"En la técnica de copia en escritura (COW) utilizada con fork(), ¿cuándo se crea realmente una copia de la página compartida?",5,"[""Cuando alguno de los procesos intenta escribir en ella"", ""Inmediatamente después de ejecutar la llamada fork()""]",0,"Como se explica en la sección 5.3.3 sobre el mapa de memoria de un proceso, en la técnica de copia en escritura (copy on write o COW), inicialmente todas las páginas de las regiones modificables se comparten con permiso de escritura desactivado. Solo cuando uno de los procesos intenta escribir en una de esas páginas se genera una excepción, y el sistema operativo crea una copia de la página en un nuevo marco para el proceso que intentó la escritura.",dificil
"En un sistema con paginación, ¿qué ocurre cuando se produce un fallo de TLB pero la página está en memoria?",5,"[""Se accede a la tabla de páginas en memoria para obtener el marco correspondiente y se actualiza el TLB"", ""Se genera un fallo de página que debe ser resuelto por el sistema operativo""]",0,"Según lo explicado en la sección 5.3.2 sobre el TLB, cuando se produce un fallo de TLB (la entrada buscada no está en el TLB), pero la página correspondiente sí está en memoria, la MMU hace una búsqueda normal en la tabla de páginas, obtiene la entrada correspondiente y la copia en el TLB, reemplazando alguna entrada existente. No se genera un fallo de página, que solo ocurriría si la página no estuviera en memoria.",dificil
"En un sistema de memoria con paginación, si una dirección virtual es 0x00403004 y el tamaño de página es 4KiB (4096 bytes), ¿cuál es el número de página?",5,"[""0x00403"", ""0x004""]",0,"Como se explica en la sección 5.3.2 sobre tablas de páginas de varios niveles, con un tamaño de página de 4KiB (4096 bytes), se necesitan 12 bits para el desplazamiento dentro de la página. Por lo tanto, los 20 bits más significativos de la dirección virtual 0x00403004 (es decir, 0x00403) forman el número de página.",dificil
"En un sistema con tablas de páginas invertidas, si varios procesos comparten una misma página, ¿cómo se refleja esto en la tabla de traducción?",5,"[""Existirán múltiples entradas en la tabla de traducción para el mismo marco, una por cada proceso que lo comparte"", ""Existe una única entrada en la tabla de traducción que contiene una lista de todos los procesos que comparten el marco""]",0,"Como se explica en la sección 5.3.2 sobre tablas de páginas invertidas, cuando los procesos comparten marcos (por ejemplo, cuando un proceso padre comparte con sus procesos hijos los marcos que contienen el código), para un mismo marco pueden existir dos o más entradas asociadas en la tabla de traducción, una por cada proceso y página virtual que lo utiliza.",dificil
"En un algoritmo de reemplazo de páginas LRU (Menos Recientemente Usada), ¿qué implementación hardware permite determinar qué página se usó hace más tiempo?",5,"[""Un contador que se incrementa automáticamente y se almacena en cada entrada de la tabla de páginas al acceder a una página"", ""Un bit de referencia que se activa cuando se accede a una página""]",0,"Como se describe en la sección 5.3.4 sobre el algoritmo LRU, una implementación hardware eficiente consiste en tener un contador especial C de 64 bits que se incrementa automáticamente tras cada referencia a memoria. Este valor se copia en la entrada correspondiente de la tabla de páginas (o del TLB) cada vez que se accede a una página. La página con el valor más bajo de contador será la que se usó hace más tiempo.",dificil
"En un sistema de paginación, la técnica de 'escritura anticipada' para páginas modificadas:",5,"[""Reduce el tiempo de resolución de fallos de página al evitar escrituras en disco durante la expulsión de páginas"", ""Aumenta el rendimiento al garantizar que todas las páginas modificadas se escriban inmediatamente en disco""]",0,"Como se explica en la sección 5.3.5 sobre políticas de lectura y escritura de páginas, la escritura anticipada utiliza un demonio de paginación que periódicamente escribe en disco las páginas modificadas. Esto reduce el tiempo de resolución de fallos de página, ya que cuando hay que expulsar una página modificada, ésta ya está actualizada en disco y no hay que esperar a escribirla.",dificil
"En un sistema con paginación, ¿qué ventaja principal ofrece el uso de páginas de gran tamaño?",5,"[""Tablas de páginas más pequeñas que ocupan menos memoria"", ""Menor fragmentación interna""]",0,"Como se explica en la sección 5.3.5 sobre tamaño de página, las páginas grandes producen tablas de páginas más pequeñas que ocupan menos memoria. Esto hace que el cambio de proceso sea más rápido si hay entradas de la tabla de páginas del nuevo proceso que deben cargarse, por ejemplo, en el TLB. Sin embargo, el inconveniente es que producen mayor fragmentación interna.",dificil
"En la segmentación paginada, ¿qué ocurre cuando se produce un fallo de TLB?",5,"[""Se accede a la tabla de segmentos para encontrar la tabla de páginas del segmento correspondiente, y luego se busca en esta tabla la entrada correspondiente a la página"", ""Se genera automáticamente una excepción que el sistema operativo debe manejar cargando el segmento completo desde disco""]",0,"Como se muestra en la figura 5.36 y se explica en la sección 5.5 sobre segmentación paginada, cuando se produce un fallo de TLB, el sistema debe acceder primero a la tabla de segmentos para encontrar la dirección de la tabla de páginas del segmento correspondiente. Luego, accede a esta tabla de páginas para obtener el marco asociado a la página y actualiza el TLB con esta información.",dificil
"En un sistema con memoria virtual, el bit 'presente/ausente' en una entrada de la tabla de páginas:",5,"[""Indica si la página está actualmente en memoria principal o no"", ""Indica si la página ha sido modificada desde que se cargó en memoria""]",0,"Como se explica en la sección 5.3.1 sobre funcionamiento de la paginación, el bit presente/ausente (también llamado bit de validez) en cada entrada de la tabla de páginas indica si la página está asociada a un marco en memoria principal (presente=1) o no está en memoria (ausente=0). Cuando se intenta acceder a una página con este bit en 0, se produce un fallo de página.",dificil
"En un sistema de paginación, ¿qué problema principal resuelven las tablas de páginas invertidas?",5,"[""El excesivo tamaño de las tablas de páginas convencionales en sistemas con espacios de direcciones virtuales muy grandes"", ""La fragmentación interna causada por el uso de páginas de tamaño fijo""]",0,"Como se explica en la sección 5.3.2 sobre tablas de páginas invertidas, éstas se utilizan para solucionar el problema del excesivo tamaño que tendrían las tablas de páginas convencionales en arquitecturas de 64 bits, donde la tabla de páginas de cada proceso podría ocupar 32 PiB de memoria con páginas de 4 KiB, lo que sería inviable.",dificil
